;;;;;;;;;;;;;;;;;;;;
State Approved Textbook List 2007;;;;;;;;;;;;;;;;;;;;
3/25/2008;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DistrictName;;;;SubjectDesc;;ISBN10;;Title;;;;;;Author;;;Publisher;;;PublicationYear
Bristol;;;;English/Lang;;1576214869;;Sipps Extension Level;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576214915;;Sipps Challenge Level;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576214931;;Sipps Plus;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576213927;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576213935;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576213943;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576213951;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;157621396X;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;1576213978;;Making Meaning;;;;;;;;Developmental Studies;;;;
Bristol;;;;English/Lang;;829409815;;Voyages in English;;;;;;;;Loyola Press;;;1999;
Bristol;;;;English/Lang;;829409831;;Voyages in English;;;;;;;;Loyola Press;;;1999;
Bristol;;;;English/Lang;;829409866;;Voyages in English;;;;;;;;Loyola Press;;;1999;
Bristol;;;;English/Lang;;829409882;;Voyages in English;;;;;;;;Loyola Press;;;1999;
Bristol;;;;English/Lang;;829409904;;Voyages in English;;;;;;;;Loyola Press;;;1999;
Bristol;;;;English/Lang;;1886050813;;Tutor Me Training;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050821;;Tutor Me Training;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;188605083X;;Tutor Me Training;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050848;;Tutor Me Training;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050856;;Tutor Me Training;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;1886050716;;Sitton;;;;;;;;Northwest Textbooks;;;2006;
Bristol;;;;English/Lang;;188605066X;;Sitton;;;;;;;;Northwest Textbooks;;;2006;
